id;author_urn;date;text;reactions;comments;media_count;source_url
synthetic_1759444636_0;urn:li:member:synthetic;1759444636;<REDACTED_NAME> sample: 3 product growth lessons from shipping fast.;0;0;0;https://example.local/synthetic
synthetic_1759444636_1;urn:li:member:synthetic;1759441036;<REDACTED_NAME> sample: <REDACTED_NAME> distribution beats invention for early startups.;0;0;0;https://example.local/synthetic
synthetic_1759444636_2;urn:li:member:synthetic;1759437436;<REDACTED_NAME> sample: A concise framework for improving onboarding UX.;0;0;0;https://example.local/synthetic
synthetic_1759444636_3;urn:li:member:synthetic;1759433836;<REDACTED_NAME> sample: <REDACTED_NAME> iteration notes after 10 customer interviews.;0;0;0;https://example.local/synthetic
synthetic_1759444636_4;urn:li:member:synthetic;1759430236;<REDACTED_NAME> sample: <REDACTED_NAME> productivity isn't velocity—it's clarity.;0;0;0;https://example.local/synthetic
synthetic_1759444750_0;urn:li:member:synthetic;1759444750;<REDACTED_NAME> sample: 3 product growth lessons from shipping fast.;0;0;0;https://example.local/synthetic
synthetic_1759444750_1;urn:li:member:synthetic;1759441150;<REDACTED_NAME> sample: <REDACTED_NAME> distribution beats invention for early startups.;0;0;0;https://example.local/synthetic
synthetic_1759444750_2;urn:li:member:synthetic;1759437550;<REDACTED_NAME> sample: A concise framework for improving onboarding UX.;0;0;0;https://example.local/synthetic
synthetic_1759444750_3;urn:li:member:synthetic;1759433950;<REDACTED_NAME> sample: <REDACTED_NAME> iteration notes after 10 customer interviews.;0;0;0;https://example.local/synthetic
synthetic_1759444750_4;urn:li:member:synthetic;1759430350;<REDACTED_NAME> sample: <REDACTED_NAME> productivity isn't velocity—it's clarity.;0;0;0;https://example.local/synthetic
synthetic_1759445105_0;urn:li:member:synthetic;1759445105;<REDACTED_NAME> sample: 3 product growth lessons from shipping fast.;0;0;0;https://example.local/synthetic
synthetic_1759445105_1;urn:li:member:synthetic;1759441505;<REDACTED_NAME> sample: <REDACTED_NAME> distribution beats invention for early startups.;0;0;0;https://example.local/synthetic
synthetic_1759445105_2;urn:li:member:synthetic;1759437905;<REDACTED_NAME> sample: A concise framework for improving onboarding UX.;0;0;0;https://example.local/synthetic
synthetic_1759445105_3;urn:li:member:synthetic;1759434305;<REDACTED_NAME> sample: <REDACTED_NAME> iteration notes after 10 customer interviews.;0;0;0;https://example.local/synthetic
synthetic_1759445105_4;urn:li:member:synthetic;1759430705;<REDACTED_NAME> sample: <REDACTED_NAME> productivity isn't velocity—it's clarity.;0;0;0;https://example.local/synthetic
synthetic_1759445233_0;urn:li:member:synthetic;1759445233;<REDACTED_NAME> sample: 3 product growth lessons from shipping fast.;0;0;0;https://example.local/synthetic
synthetic_1759445233_1;urn:li:member:synthetic;1759441633;<REDACTED_NAME> sample: <REDACTED_NAME> distribution beats invention for early startups.;0;0;0;https://example.local/synthetic
synthetic_1759445233_2;urn:li:member:synthetic;1759438033;<REDACTED_NAME> sample: A concise framework for improving onboarding UX.;0;0;0;https://example.local/synthetic
synthetic_1759445233_3;urn:li:member:synthetic;1759434433;<REDACTED_NAME> sample: <REDACTED_NAME> iteration notes after 10 customer interviews.;0;0;0;https://example.local/synthetic
synthetic_1759445233_4;urn:li:member:synthetic;1759430833;<REDACTED_NAME> sample: <REDACTED_NAME> productivity isn't velocity—it's clarity.;0;0;0;https://example.local/synthetic
synthetic_1759445244_0;urn:li:member:synthetic;1759445244;<REDACTED_NAME> sample: 3 product growth lessons from shipping fast.;0;0;0;https://example.local/synthetic
synthetic_1759445244_1;urn:li:member:synthetic;1759441644;<REDACTED_NAME> sample: <REDACTED_NAME> distribution beats invention for early startups.;0;0;0;https://example.local/synthetic
synthetic_1759445244_2;urn:li:member:synthetic;1759438044;<REDACTED_NAME> sample: A concise framework for improving onboarding UX.;0;0;0;https://example.local/synthetic
synthetic_1759445244_3;urn:li:member:synthetic;1759434444;<REDACTED_NAME> sample: <REDACTED_NAME> iteration notes after 10 customer interviews.;0;0;0;https://example.local/synthetic
synthetic_1759445244_4;urn:li:member:synthetic;1759430844;<REDACTED_NAME> sample: <REDACTED_NAME> productivity isn't velocity—it's clarity.;0;0;0;https://example.local/synthetic
synthetic_1759445327_0;urn:li:member:synthetic;1759445327;<REDACTED_NAME> sample: 3 product growth lessons from shipping fast.;0;0;0;https://example.local/synthetic
